,mop/agnostic,mop/specific,ps1c/best agnostic,ps1c/best specific,ps3cl/best agnostic,ps3cl/best specific,best agnostic/ctw,best specific/ctw
max,29.611880774766263,17.98074148358114,17.774686870645,13.784834003595197,6.731586486166306,4.387810545380517,5.192939069628619,16.777810941031
min,2.4802262789383507,0.9539751603214546,1.38896560794371,0.1371669778391103,0.9968197339585139,0.12735449305950158,0.7271161208897321,0.7743247637191296
avg,9.119681952750915,6.080224508642285,5.530685850553408,3.9921879014229824,2.4235248412044847,1.6783841876699237,1.8116118277697282,3.476350958070933
med,8.005165220271651,5.237073015443414,5.556085880250034,3.3045942258873513,2.0227478712250404,1.4172550687651637,1.5797004041000746,2.2720607046688897
