project,best agnostic,best specific,ps1c/agnostic,ps1c/specific,ps3cl/agnostic,ps3cl/specific,agnostic/ctw,specific/ctw,mop/agnostic,mop/specific,ps1c_t,ps3cl_t,agnostic_t,specific_t,ctw_t,mop,sha
TNG-property-loader,staticCIA,mopCache,2.436133984,1.734026773,1.848658127,1.315864689,1.521224774,2.137168484,4.310638406,3.068288712,95.857,72.741,39.348,55.28,25.866,169.615,15
valfirst-jbehave-junit-runner,staticCIAThreads,mopCache,6.415977209,3.562373871,2.039645831,1.132482361,1.344629602,2.421731462,11.6181484,6.450800395,939.113,298.545,146.371,263.62,108.856,1700.56,19
vaulttec-sonar-auth-oidc,storeHashesThreads,mopCache,3.37184463,2.07724531,2.751032384,1.694790166,2.090006489,3.392558944,16.06922408,9.89954284,651.582,531.615,193.242,313.676,92.46,3105.249,26
venushka-jmxeval,staticCIAThreads,mopCacheShared,5.889555008,1.577262795,3.055956849,0.8184059804,1.58318489,5.911668321,7.775141932,2.082235768,685.715,355.802,116.429,434.75,73.541,905.252,21
visenze-visearch-sdk-java,incrementalJarThreads,mopCache,8.810422096,8.615705904,1.44651139,1.414542526,1.310914536,1.340541392,13.85111678,13.54499788,2931.201,481.25,332.697,340.216,253.79,4608.225,50
walmartlabs-gozer,staticCIAThreads,mopCache,4.474905633,4.148990457,1.809156269,1.677392265,1.653628683,1.783525989,7.850783752,7.278997489,2065.16,834.922,461.498,497.75,279.082,3623.121,50
weswilliams-GivWenZen,dynamicCIAThreads,mopCacheShared,3.034923011,0.7849647897,1.78105729,0.4606598771,2.771419553,10.71518759,3.759113121,0.9722722554,559.57,328.386,184.377,712.86,66.528,693.094,20
whizzosoftware-WZWave,staticCIAThreads,mopCache,3.156685787,3.04681458,1.854056063,1.789524022,1.986939364,2.058590402,4.273368328,4.12463001,739.078,434.092,234.131,242.574,117.835,1000.528,50
MAX,,,17.775,13.785,6.732,4.388,5.193,16.778,29.612,17.981,9105.342,4769.374,1540.399,2557.168,1151.995,9249.937,50
MIN,,,1.389,0.137,0.997,0.127,0.727,0.774,2.48,0.954,78.546,33.012,21.896,29.689,13.682,120.49,8
AVG,,,5.531,3.992,2.424,1.678,1.812,3.476,9.12,6.08,1885.675,844.129,364.132,603.253,254.258,2901.012,33.896
MED,,,5.556,3.305,2.023,1.417,1.58,2.272,8.005,5.237,1645.693,664.393,296.652,449.953,162.042,2464.164,32.5
SUM,,,,,,,,,,,90512.383,40518.185,17478.319,28956.163,12204.372,139248.593,1627
