,mop-agnostic,mop-specific,ps1c-best agnostic,ps1c-best specific,ps3cl-best agnostic,ps3cl-best specific,best agnostic-ctw,best specific-ctw
max,7812.846,7992.603999999999,7564.943000000001,7848.009,3228.975,3512.0409999999997,395.87199999999996,1658.4270000000001
min,98.594,-28.349000000000046,23.659999999999997,-1503.4460000000001,-2.183999999999969,-1872.6170000000002,-257.72900000000004,-103.41500000000002
avg,2536.880708333333,2297.7589583333333,1521.5430000000001,1282.42125,479.99720833333333,240.87545833333334,109.87389583333334,348.99564583333336
med,1990.2150000000001,1922.2855,1131.138,926.0134999999999,352.0335,171.28649999999996,95.74000000000001,211.61499999999998
sum,121770.27400000005,110292.42999999996,73034.06400000003,61556.219999999994,23039.865999999998,11562.022,5273.947,16751.791
