sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
0d9726ed0b718db4252278f307d8d7bcb7711d63,16958,423,122,39,0,352,9860,426,129,31,2,340,560,340,26,1,0,234,835,469,138,38,1,348,28,457,186,48,2,285
4733f94d757e92df3aada583deaad2905652d10f,16455,420,138,23,1,380,9924,456,124,25,1,379,762,349,33,1,0,228,513,503,158,34,1,303,20,399,181,56,2,294
c6fd69528af76d31eac796c5d93ae7427df77124,16720,442,144,15,2,414,9492,403,132,28,1,409,413,342,23,1,0,224,522,447,161,26,2,292,20,441,186,45,5,310
da222f9df4ab35510582531461430df1a15dbcf8,16860,418,156,20,1,415,9650,424,108,28,1,370,1095,370,47,1,0,249,580,426,147,39,2,320,20,418,192,57,2,308
8f0ee53200c4ff0898a4a16383d561c7d9915c3f,17332,535,144,26,2,338,9788,432,146,22,2,391,885,328,49,1,0,251,938,452,149,27,1,336,23,418,196,43,3,280
59166aaaad5ea67e2ec51501e4fbf9714ac2f5c8,17044,443,142,24,1,397,9186,382,130,20,2,417,897,360,42,1,0,228,604,465,168,32,3,302,23,434,190,45,1,272
e0b9973d2ebc2ed0707eced5103cd8d1839ee85a,16943,421,138,29,1,407,9534,421,112,22,2,369,1056,345,38,1,0,295,505,458,144,24,2,325,19,448,204,54,5,313
751d879aaa31aca758216935003a0973af4cfb4a,17673,451,162,33,2,391,9389,437,146,29,2,357,958,361,36,1,0,248,476,435,152,27,1,331,30,431,192,45,2,272
375e4bb2a7bef4d3dbeb7be155eb8f0ceb224213,17171,562,142,25,3,417,9793,418,115,20,1,374,776,345,35,2,0,221,498,473,151,34,1,318,22,426,190,61,6,311
99c9d87608765ae645e7bc6d3e007672057e4b56,16598,439,141,19,0,427,9270,373,128,20,0,368,1066,340,46,1,0,248,639,441,128,35,3,309,27,403,202,52,5,300
563c7838bafbff74e5771c738a4b34a32d6d07ad,17095,493,165,31,2,392,9825,434,117,29,1,366,784,368,35,2,0,261,576,424,147,34,2,327,24,429,185,48,6,308
b6de4dc5e2a5099e854b6388fab7fffc310e5e13,16836,426,140,33,1,392,9033,395,128,24,0,414,387,329,25,0,0,213,555,430,150,32,3,338,27,420,203,30,8,311
05d02f4f55c872b47894a67ef2ac4a03345ebf07,17319,464,144,27,0,426,9445,422,122,12,1,396,766,361,34,0,0,246,873,421,155,29,1,317,24,423,176,52,2,312
09430e31f3ffd8e83d15fec0768969474c158456,16934,449,124,30,1,389,8994,455,125,34,1,382,171,340,17,0,0,193,883,452,175,32,1,354,23,441,163,51,6,312
0049753e1b2ce8071d2027473185239cfea71466,17434,437,145,26,0,411,9170,420,110,26,0,396,427,362,17,1,0,218,871,420,140,27,1,328,32,435,194,49,6,319
06fd08c9887f1a651767af365402440b9f92282e,16000,411,146,29,1,400,9335,396,137,25,3,363,1097,354,45,2,0,252,583,426,154,38,0,293,21,446,198,50,3,278
24e3040a146356037f9a7ee3d4a0b14272c37e60,16789,414,150,19,2,370,9860,460,130,27,2,390,1108,379,46,0,0,266,892,413,147,29,0,320,18,419,178,63,2,296
