sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
fe0fbc319ced29ac619548f4aa9c4390776914bc,18353,374,115,19,0,330,14811,347,113,21,1,311,250,282,19,2,0,155,631,375,106,25,1,234,10,379,126,23,0,231
479f6e2f3d73fc3511b0f95e6ea1f8100d3ee4e1,19459,360,103,14,0,351,14223,350,113,16,0,325,285,285,19,1,0,156,623,365,112,26,0,229,12,383,126,24,0,206
9fa9274a1f38b60cf5b967125614eccbf8cc7d3f,18837,346,112,20,0,377,14736,370,114,19,0,342,235,285,19,1,0,154,613,379,116,31,0,230,9,357,120,27,0,210
3c08278d113343cf3981a1d0cc4ad89cd79aa020,18555,368,111,15,1,345,14647,361,103,19,0,327,295,288,20,0,0,167,787,369,114,19,0,215,8,378,122,23,1,199
048709f76479b6c091341f083160401a1752db4f,18643,370,119,23,0,342,14412,342,101,23,0,320,265,304,23,0,0,153,669,388,123,21,0,216,13,408,145,18,1,212
eeca3fadc8ae9bd4a643c14ef26c234646ddc1f7,19687,377,94,21,0,395,346,289,18,0,0,155,139,272,19,2,0,147,728,367,127,26,0,225,9,371,136,29,0,196
af9af6febcdbf6f4aa253791557c8690ae057597,17945,321,101,24,0,387,14086,374,103,14,0,304,317,274,20,0,0,166,713,377,124,19,0,220,10,355,129,31,0,203
8bcc13d5882873038fcfc8f1b493bb732926971b,18752,347,111,22,0,343,13433,329,95,10,0,327,277,290,22,2,0,163,660,386,121,21,1,223,8,374,128,20,0,211
a7be0603aa7f9c1b830b49abf142a8c7660bc88b,18294,354,113,17,0,332,14825,364,101,21,0,340,300,287,20,1,0,142,644,371,135,28,0,212,14,384,136,19,0,220
e524bfc66d6400b2fb046d110b802e664112e312,19758,360,90,18,0,369,14552,361,94,14,0,326,379,298,27,1,0,140,731,390,124,25,0,228,15,353,154,25,0,225
752d5891073dea8da19d3dcae549aef0e84e29a7,19040,376,104,26,0,341,13786,340,86,14,0,324,253,292,19,0,0,156,701,381,114,34,0,239,8,395,102,25,0,229
419826f613542f0dabdd8e26ae13e79d3feb3282,19127,366,99,20,0,320,14273,344,87,13,0,316,289,311,19,2,0,166,666,392,118,27,0,236,11,371,124,27,0,206
79dfe704992fb90e4b40850a2af8ffde78d07334,19062,349,86,26,1,366,14776,347,101,21,0,369,669,292,21,13,0,176,805,377,119,21,0,254,15,380,112,35,1,218
faee35201780a55f2bb4554eb26877b640132b71,18982,377,120,17,0,347,14140,359,108,14,0,327,645,281,25,0,0,170,797,395,122,25,0,261,6,365,135,29,0,198
6bbd4896f68625778281e6a89793a95a2624a0a5,19456,375,116,25,0,381,14675,376,99,18,0,309,270,271,20,0,0,143,740,403,123,22,0,223,12,361,133,23,0,217
735a58c3fe4c4f3949cbbfe3223ed4a8c75c8b98,19072,400,106,20,0,368,14800,372,103,18,0,322,287,276,18,3,0,154,680,378,98,24,1,229,15,366,138,27,0,208
c3e65cf7766c09f0800f81920d2ada250e4846fb,19556,372,113,17,0,369,0,0,0,0,0,0,0,0,0,0,0,0,673,381,122,30,0,211,0,0,0,0,0,0
