sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
8961063ccaebbcb71e3ea627ab90a8c25bcdd75b,19328,1239,216,688,2,299,13747,1227,173,632,0,257,1165,1128,41,79,0,180,297,1287,217,400,2,145,17,1287,207,387,2,167
be523bc4b471c78a89108bffc9c3f7bf88cdf69c,18701,1271,186,668,1,271,13987,1171,157,658,2,262,1379,1096,50,76,0,173,249,1266,218,395,4,151,17,1283,209,385,1,138
9837cc4c335d0c3a7fba9e2d4ad42a70e663489c,19690,1247,208,705,2,265,13883,1208,167,626,1,282,1474,1107,53,70,0,178,609,1337,213,378,1,175,18,1307,221,371,0,145
b2c6a74523fea6aa4bae3e586c73ccef7a74fbdc,19246,1185,170,684,1,274,13694,1222,175,633,0,267,1172,1145,42,68,0,163,352,1229,234,399,0,151,20,1320,226,386,2,149
eb1901f58307c49d4e442ee9c5d681e9fcdc26a4,19773,1176,207,707,2,265,13718,1210,172,644,0,260,1178,1110,36,75,0,176,325,1309,241,405,0,154,18,1297,235,391,0,157
5d8b527aeb6050aa0ebbda51ab0fe22ec2a72915,19960,1240,188,700,2,299,13080,1179,161,627,0,281,1290,1131,45,79,0,160,453,1366,217,388,0,175,19,1301,236,363,3,159
526a238a9d125645c4397f7b3ca7233b9930dbe7,19318,1223,209,695,0,265,14057,1219,161,654,0,269,1205,1131,45,78,0,159,278,1312,231,363,1,152,19,1328,218,376,1,140
78df4b92f9bf2da9e1d380e3c780381b03b6533a,19002,1181,222,109,2,269,13999,1141,182,95,0,255,1292,1082,34,6,0,159,552,1277,273,80,3,160,17,1289,255,97,2,159
82795d7f3c5c332f92f290c3351e741a8fda499e,19132,1241,500,504,1,337,19361,1245,499,502,0,365,19256,1265,502,477,0,324,3345,1310,544,451,2,257,16,1359,631,423,2,228
30dd0f31e05513f5c6782c241ad10d8e17bf2391,20094,1269,494,511,0,331,13419,1174,461,505,0,321,1202,1112,43,6,0,162,278,1352,514,494,0,206,20,1289,664,345,0,237
