sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
ac9b98a66657cc26f6fd0f0e18d1f95560c31348,9232,639,38,34,1,150,5441,619,43,32,0,111,1319,617,24,31,0,115,473,700,51,31,2,93,12,678,44,27,2,68
adacfb63848c437aa128a1e8de7bbda2dba5f5a4,8923,691,39,31,0,153,0,0,0,0,0,0,0,0,0,0,0,0,413,694,41,37,1,120,0,0,0,0,0,0
d4a2c3133a4929af618f38c8bb70f4117b602c79,9946,632,49,30,2,147,9723,707,40,25,1,144,9532,707,42,36,0,124,894,696,40,39,0,94,8,723,47,20,3,76
638153a0bd36dce4000c72a7e9643dbfc72ce8e9,8876,688,47,30,1,133,6528,677,53,32,1,129,5748,581,37,38,1,97,379,693,40,35,2,77,8,692,45,28,1,63
5a3cb28cd6a590f9e83b5bdf5f532adf74f3947e,9442,678,37,30,0,130,6337,704,46,29,1,122,1376,655,25,35,0,136,633,669,46,27,0,112,5,725,45,30,1,52
e98903cd041e1ec4124f9eac842d892e23f7758b,9450,665,54,25,1,128,0,0,0,0,0,0,0,0,0,0,0,0,621,713,38,36,0,116,0,0,0,0,0,0
b65434454abec458fa81498657de57fe311cfcc1,9733,606,44,21,2,134,0,0,0,0,0,0,0,0,0,0,0,0,137,679,50,33,2,72,0,0,0,0,0,0
8213a11ec577d008ca678da218e3ed07a42c75cd,9956,658,38,30,3,147,6237,638,34,30,1,119,6174,697,37,35,1,105,421,741,41,37,0,89,7,712,45,25,1,65
75ab8caeaadb6ffcef7726c1bc38ed0ee3b0eb18,9324,630,43,24,0,140,0,0,0,0,0,0,0,0,0,0,0,0,7171,602,34,28,2,114,0,0,0,0,0,0
ed9d0a2f5928433ac3d3883d317e996f9e94c9b1,8947,645,48,35,0,145,6338,673,41,33,0,113,5439,618,33,45,1,101,394,687,43,32,1,88,6,728,44,39,3,61
e2f678a6f6ef4fc6b97bfc943009a5513403e4dc,9514,570,37,32,0,151,5815,567,48,35,1,114,5837,552,27,35,0,103,1017,673,44,33,0,117,7,690,54,23,1,61
12559d705bbecc80190aeafc053840e93240de37,9505,702,47,28,0,132,6103,655,45,34,0,113,5964,664,44,40,0,103,532,661,36,30,1,100,5,665,52,38,0,67
804e5dace2e87b3fe5e877a4b87eddda6cee88bd,10086,683,37,26,1,133,5720,679,51,30,0,103,1385,664,25,47,0,113,479,712,48,33,2,90,10,756,47,38,0,49
bdcb7095e127d858b82b3cbd5325f5725b9dbb47,9873,651,39,29,1,146,5804,678,37,34,1,121,329,672,0,25,0,80,370,674,51,30,0,78,5,733,48,33,0,58
87dcb3341e1e1c34b276ab6f4df1b2eea095f075,9403,688,47,32,1,136,0,0,0,0,0,0,0,0,0,0,0,0,2066,675,40,33,2,144,0,0,0,0,0,0
52a03c663b07690d1aed42ddaeef246f812231eb,9084,705,49,33,1,135,6042,695,40,32,0,120,340,633,0,34,0,83,396,701,48,38,1,79,8,664,53,37,1,63
c13ba8b6018ad06c4d37399391f99cd1e7cda722,9607,713,39,34,1,138,5631,660,43,38,0,121,350,685,0,15,0,87,389,700,44,33,0,75,8,695,46,28,0,75
872d993664e990ff54164d923cd2e338a5953ba9,10101,685,45,26,1,142,6427,705,54,38,2,112,313,639,0,20,0,81,380,665,46,35,1,87,6,690,38,38,0,53
