sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
c1f7359c22f64f67e0bdd188c3839016c12edeb4,12690,220,92,20,0,213,0,0,0,0,0,0,0,0,0,0,0,0,433,220,116,19,0,102,0,0,0,0,0,0
aecb49cec5457eae26bf90f95df1a6cb94eec7f3,13473,567,183,156,0,329,6266,483,179,133,0,217,959,564,29,2,0,126,490,634,309,90,0,174,2,672,240,61,1,151
eb435d05f372279cdfa69761689f9957b829b000,13014,551,205,170,0,389,5256,439,169,130,0,181,636,581,28,1,0,115,725,673,261,124,1,320,8,668,254,85,0,157
fb8d44c6d78ac1948b05dee93afe4f883ba5c7ea,13295,519,203,124,0,324,0,0,0,0,0,0,0,0,0,0,0,0,401,630,312,86,0,208,0,0,0,0,0,0
9b60a7c53a8020907a866e56964d7d6cdae86f58,12809,582,296,71,0,393,6829,636,272,158,0,184,616,616,26,4,0,136,542,663,290,112,0,223,2,693,192,76,0,163
04f68a29c90b1f700067c29658f42a86814dd931,13323,563,207,166,0,364,6403,602,259,156,0,218,1049,583,24,1,0,138,750,635,273,145,0,283,2,737,158,80,0,160
e3617b1e97697d4acc4589d0dc2c45feba73d8c7,13898,583,247,150,0,412,6349,622,349,79,0,346,780,561,29,6,0,114,548,643,297,101,0,251,3,727,178,75,0,156
fb52eb25fe6d9103aa3bc833b53893497c15e446,13396,600,308,67,0,394,6701,490,231,128,0,191,981,593,30,5,0,147,757,700,277,147,0,373,9,673,235,44,0,155
5dcc036e0034994e40d720a1f377aa3b610f760c,13775,639,292,219,0,374,6875,542,306,203,0,198,1205,662,52,38,0,129,980,708,266,204,0,198,2,694,295,117,0,155
41937f1e0823fa38c9eb74d604369e01421f45e5,16159,506,93,51,0,218,16519,619,94,49,0,233,16339,631,95,58,0,232,16608,592,117,55,0,200,6,681,60,46,0,111
c01dc7928d145879db68890e86d1696be683a4c6,15880,603,115,47,0,218,8238,617,108,52,0,225,1181,674,37,3,0,150,731,690,134,62,0,146,10,715,70,35,0,132
965b729a2a80e4c89f390925fbbff2d75c3cc828,17194,676,94,45,0,244,7961,627,109,50,0,196,730,646,31,4,0,145,536,703,135,53,1,147,5,700,69,44,0,128
c5662d2e20664ad2c598075bbaf2fd8a5ef88e53,17220,626,119,55,0,236,8742,652,112,50,0,183,1039,699,29,3,0,149,589,729,135,56,0,143,5,744,68,43,0,121
b3cc607f2a8d84fbb01d0726a33fa8bbbc810220,16019,655,102,45,0,207,8101,607,103,52,0,187,1175,688,37,2,0,142,666,697,127,66,0,152,7,697,68,34,0,114
78e62fd7c93afb2500c7db103f4bf7c9dfd6662d,17755,677,116,57,0,254,0,0,0,0,0,0,0,0,0,0,0,0,522,702,117,57,0,145,0,0,0,0,0,0
