sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCode instr,cleanByteCode project,cleanByteCode monitoring,cleanByteCode lock,cleanByteCode violation,cleanByteCode other
1eee1533ba04cee15e23edadb9f6c1d7ba4d1cae,18949,4429,106,37,2,291,11461,4240,93,30,0,254,1523,4139,35,15,0,171,647,4379,98,43,2,175,21,4358,127,49,0,144
e3aae067d84b06e925b258987de9f18348aaa6cd,18644,4281,85,29,1,304,11641,4350,84,31,1,259,1547,4266,37,22,1,173,1070,4380,126,39,2,208,17,4294,112,43,4,162
40e1740690c3fa645153ad2552fd816a12cb44f0,19123,4468,92,57,1,285,11801,4392,92,35,1,263,1392,4251,40,17,0,155,746,4396,108,35,1,178,12,4377,109,48,1,177
6997d8913b9566b1be6ddd94d369004ed01acc0a,19587,4460,113,58,1,298,11047,4248,95,43,0,230,1354,4207,47,18,0,168,886,4423,113,46,2,153,16,4361,118,62,1,163
9889bd0db34f9b6a1214d0671397e61d3ed7a2fe,19072,4348,116,46,0,285,11342,4295,97,39,0,231,1385,4236,39,15,0,156,938,4431,123,38,0,165,19,4358,121,37,0,144
6f8d97f8c5153f67307006e8c04f3e6717ab84fe,19982,4318,98,44,1,307,11011,4332,119,33,1,230,1386,4251,32,21,0,153,743,4390,116,54,4,138,21,4355,115,43,1,163
b920c484c8ddbc30c0374316f07beacdd3aac86c,18081,4384,100,50,1,298,11392,4322,93,39,0,294,1410,4252,37,24,0,168,1215,4383,113,40,1,177,21,4414,116,53,2,147
4cac6c0eb9b95884ecd1267307ba04231951046e,19706,4466,120,39,2,265,11297,4350,97,40,1,268,1392,4294,46,14,0,139,636,4338,123,59,1,182,19,4373,104,52,1,172
fcbab4d765c367deeb25bfa3f42892d02307c954,18820,4451,105,44,1,339,11302,4363,90,40,1,240,1351,4218,36,18,0,173,994,4385,115,33,1,202,19,4359,97,46,0,120
a45d0bf251fdddc9149647c88dc8c5f1e00d7a90,19479,4427,100,66,2,281,19170,4490,101,42,1,296,19125,4252,102,47,2,289,1232,4409,118,50,2,167,23,4370,115,49,0,176
baf0caacaa79dafad737a90ea1f0c33dabe56af9,19512,4447,107,46,1,298,11609,4346,95,45,0,281,1441,4312,31,25,0,153,1542,4412,125,49,1,178,23,4439,97,49,1,158
bbce2284a9e90c55c3f45557aeed8b83b613ffed,21192,4324,102,53,0,320,20310,4293,103,41,0,288,21291,4450,105,51,2,302,5729,4418,115,51,0,205,19,4398,96,49,2,163
93adab4f1d838cf5942a089953d376482c8f90df,20146,4438,113,59,1,279,12560,4345,115,48,0,250,1485,4322,38,25,0,196,886,4401,95,55,2,162,26,4394,122,53,0,157
ff206e19c301fc63e6e77cec14ca30e5a77d966b,20376,4504,105,39,1,292,12065,4413,108,35,0,252,1422,4294,34,17,0,154,1025,4466,116,35,3,160,14,4401,124,38,1,177
1a6b20737c0e034fed35f555442fa493c6268e9f,20362,4416,93,45,1,268,20847,4320,97,46,1,305,20548,4408,91,40,1,300,650,4374,98,47,2,163,28,4368,122,39,1,161
