sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
b174332e1f0beaf00eece890ebb3ca87c766a659,30055,1362,200,52,5,500,0,0,0,0,0,0,0,0,0,0,0,0,3669,1363,278,36,1,406,0,0,0,0,0,0
8137747acfad6022a49c2a50d7493a0d0ad32efa,32538,1423,221,64,0,573,0,0,0,0,0,0,0,0,0,0,0,0,3562,1376,278,43,2,385,0,0,0,0,0,0
c65cf24c53af0a5468f63cd169db38a5ca65eada,31592,1424,215,46,1,565,0,0,0,0,0,0,0,0,0,0,0,0,3537,1364,250,52,2,381,0,0,0,0,0,0
1e816e4c492f399ab04752644ec6d57c732e94b3,30904,1416,229,49,1,542,0,0,0,0,0,0,0,0,0,0,0,0,2599,1408,238,44,0,433,0,0,0,0,0,0
1222b2a240bab56698a3b9f17472e2d904eb679e,31619,1382,222,44,1,542,0,0,0,0,0,0,0,0,0,0,0,0,2682,1390,256,51,1,397,0,0,0,0,0,0
c221ea66752c7c5f8e0d33c5c45595e27b0cc72f,31927,1404,207,57,1,519,0,0,0,0,0,0,0,0,0,0,0,0,2675,1373,279,65,2,396,0,0,0,0,0,0
c090d68047de1dceee74ef245a398dfed6b90a06,31028,1316,217,44,1,524,0,0,0,0,0,0,0,0,0,0,0,0,3584,1355,247,53,2,365,0,0,0,0,0,0
9db1e45f5246e233c07bf4f8087cc588f2991f4a,32054,1375,242,50,2,581,0,0,0,0,0,0,0,0,0,0,0,0,2660,1372,263,55,3,403,0,0,0,0,0,0
f72566865db80d7f8ba07a29216121a09ea0f007,31307,1324,240,38,3,572,0,0,0,0,0,0,0,0,0,0,0,0,2644,1379,287,44,1,398,0,0,0,0,0,0
8bbfe78417a456c17dae6809c6a8949489021a6f,31704,1389,212,46,1,577,0,0,0,0,0,0,0,0,0,0,0,0,2695,1387,254,55,2,396,0,0,0,0,0,0
b0b6792b44487e32669f0d7054f9588795dc90ea,31207,1354,212,50,4,561,0,0,0,0,0,0,0,0,0,0,0,0,2619,1392,257,61,2,413,0,0,0,0,0,0
e83ec0afa2dff7e1fcddc2d379c6a0359eacaf80,32058,1353,204,60,1,570,0,0,0,0,0,0,0,0,0,0,0,0,3285,1403,260,59,2,403,0,0,0,0,0,0
1e35af601d376f3ec015088629e172d6066ad47b,31704,1357,238,45,5,580,0,0,0,0,0,0,0,0,0,0,0,0,2587,1369,267,47,2,420,0,0,0,0,0,0
4dfe3c6fa370815b8e77749840428a2f0209891e,32853,1353,238,55,3,536,0,0,0,0,0,0,0,0,0,0,0,0,2586,1432,262,52,0,455,0,0,0,0,0,0
4d7c0b18e0b654d1f5705da816a6adaedefd795f,32811,1398,223,53,3,586,0,0,0,0,0,0,0,0,0,0,0,0,2667,1405,246,65,3,434,0,0,0,0,0,0
c7fcb222fe4a102fd23af32cb14215bfb93a2924,33342,1381,216,56,1,577,0,0,0,0,0,0,0,0,0,0,0,0,2586,1399,305,56,2,446,0,0,0,0,0,0
b58c7d8e86134e5a40ebd874bfe2ed2fe0be76f6,31468,1410,204,46,1,561,0,0,0,0,0,0,0,0,0,0,0,0,2672,1411,259,73,2,393,0,0,0,0,0,0
a8e67cc7e375e2b9aab333c0256b69753f7e5fa4,30931,1379,199,54,5,519,0,0,0,0,0,0,0,0,0,0,0,0,2641,1397,283,37,1,398,0,0,0,0,0,0
59702f261fb069fdd9479995f5783ec73cae794d,33033,1409,233,48,0,527,0,0,0,0,0,0,0,0,0,0,0,0,2596,1370,251,77,4,418,0,0,0,0,0,0
