sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
9c7af24630fb2f7e73ecceae3360d124195c85f7,7895,1093,203,476,4,380,6060,990,139,438,5,287,620,952,47,51,0,292,132,1085,196,249,2,274,14,989,142,169,0,407
c24b058c98debb980e82909ab1fccfb0e3c0dfa6,6598,221,48,109,1,167,4736,201,36,92,1,162,73,164,9,3,0,76,151,246,50,23,1,103,7,208,26,2,1,107
de2f7d9a735e09ce21fd5cb7066b724ba88d3c5c,8161,1101,242,507,2,433,6013,1060,146,417,3,354,554,879,45,33,0,256,181,985,225,267,3,264,8,1021,150,248,2,400
c022fdc0b1d0125f3e4ec471ab846f4d9ba491b1,2239,53,23,107,0,92,9,33,0,2,0,31,11,29,0,1,0,28,101,36,20,11,1,41,1,52,13,2,0,51
cccecd4dcd4141580833b9e8dad8c8755877df28,6549,245,52,109,1,197,5028,224,21,73,1,185,98,174,9,1,0,89,141,193,51,24,0,81,5,217,40,6,0,107
bd74736890d1490784f5dbe15b0ee9ca455b8264,5344,218,40,9,1,162,3921,194,18,1,0,145,65,140,9,1,0,62,150,181,38,12,1,78,4,197,15,1,0,93
c7d7d00cf487063be26abd5c43e9404b665c225e,7823,1160,245,535,0,377,6117,1031,113,453,1,332,656,984,54,47,0,329,274,1093,191,372,5,321,11,1053,146,228,5,361
19043dfcd4b19ba4b390e023e6019523f16c5dc3,8067,1069,224,474,2,361,6205,1023,142,429,1,346,564,970,59,44,0,295,253,1039,182,294,1,225,9,1157,157,237,0,366
8961063ccaebbcb71e3ea627ab90a8c25bcdd75b,6591,289,104,117,0,248,5189,290,88,90,1,213,466,239,20,8,0,143,199,283,86,31,3,122,10,277,47,14,0,259
be523bc4b471c78a89108bffc9c3f7bf88cdf69c,7683,1072,194,448,2,346,6123,1033,149,432,1,315,762,928,58,42,0,334,107,1028,163,265,3,281,12,1025,154,314,1,292
9837cc4c335d0c3a7fba9e2d4ad42a70e663489c,7765,1065,203,497,2,416,5922,1022,154,492,0,349,805,992,53,55,0,311,376,1010,226,275,3,294,12,1156,152,271,2,369
b2c6a74523fea6aa4bae3e586c73ccef7a74fbdc,7297,711,115,155,3,311,6092,674,83,117,1,262,469,551,29,10,0,174,141,714,140,59,2,183,8,676,81,26,1,236
eb1901f58307c49d4e442ee9c5d681e9fcdc26a4,7696,668,91,153,0,264,5870,658,57,103,0,212,416,569,16,2,0,185,144,622,95,62,1,188,8,674,53,20,0,266
5d8b527aeb6050aa0ebbda51ab0fe22ec2a72915,7735,681,121,244,2,260,5986,633,66,244,0,246,512,594,24,16,0,235,195,627,85,83,0,196,7,602,61,92,0,283
526a238a9d125645c4397f7b3ca7233b9930dbe7,7246,643,98,119,1,226,5679,664,59,106,0,236,394,614,21,7,0,191,107,711,117,72,2,195,6,644,54,11,0,266
78df4b92f9bf2da9e1d380e3c780381b03b6533a,7594,689,112,66,1,256,5846,623,76,33,1,217,472,538,19,2,0,168,316,658,142,71,1,210,12,692,85,24,0,245
82795d7f3c5c332f92f290c3351e741a8fda499e,7492,774,326,261,0,293,7361,771,350,195,3,289,7590,762,358,280,0,377,1605,695,356,277,1,259,15,1095,317,221,0,408
30dd0f31e05513f5c6782c241ad10d8e17bf2391,7310,675,96,51,0,245,5828,666,90,27,0,262,516,577,31,0,0,205,145,691,141,58,1,198,6,669,68,18,0,289
