sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
e0b9973d2ebc2ed0707eced5103cd8d1839ee85a,5855,239,109,25,0,227,3709,226,77,21,3,203,427,166,29,0,0,153,184,232,97,25,0,185,3,237,123,20,1,185
751d879aaa31aca758216935003a0973af4cfb4a,3558,185,48,15,0,126,2242,168,37,9,0,95,212,119,11,0,0,61,124,168,72,10,1,77,4,155,26,4,0,81
375e4bb2a7bef4d3dbeb7be155eb8f0ceb224213,5877,217,101,17,1,258,3542,236,91,13,0,215,301,152,20,0,0,152,179,197,96,36,0,178,14,202,98,19,3,213
99c9d87608765ae645e7bc6d3e007672057e4b56,5850,218,98,17,0,245,3601,227,92,18,0,225,453,161,19,0,0,153,200,194,119,32,1,206,11,220,114,30,2,189
563c7838bafbff74e5771c738a4b34a32d6d07ad,5577,222,97,17,0,245,3690,245,79,15,2,221,296,156,21,0,0,167,225,219,128,32,1,218,15,276,166,40,3,238
b6de4dc5e2a5099e854b6388fab7fffc310e5e13,3058,135,34,4,0,123,1897,134,26,1,0,83,107,92,11,0,0,52,132,134,26,3,0,64,1,107,17,4,0,63
05d02f4f55c872b47894a67ef2ac4a03345ebf07,5243,171,71,21,1,212,3423,175,71,29,0,219,251,113,19,0,0,117,290,188,132,39,1,233,5,198,90,26,1,200
09430e31f3ffd8e83d15fec0768969474c158456,3092,147,39,10,0,134,1943,101,22,0,0,83,65,102,11,0,0,49,202,110,28,6,0,62,5,163,48,5,1,76
0049753e1b2ce8071d2027473185239cfea71466,3406,201,51,14,0,125,2093,156,44,3,0,111,148,106,10,0,0,69,268,155,87,9,0,69,2,132,41,10,0,75
06fd08c9887f1a651767af365402440b9f92282e,5868,245,100,27,2,273,3554,241,70,11,1,224,391,165,19,1,0,139,248,244,121,42,0,274,17,230,102,29,3,186
24e3040a146356037f9a7ee3d4a0b14272c37e60,5726,234,89,19,0,313,3709,240,102,26,1,274,363,167,19,1,0,140,314,219,116,34,3,225,5,217,103,33,4,174
