sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
325331efce79867d993288734baca73835365b56,2668,65,50,7,0,157,1701,39,45,14,1,122,106,31,5,0,0,55,179,81,70,5,0,125,8,76,65,29,1,131
8feb6c9548c9913dfec8237110125bf1c253741d,2489,51,38,12,0,150,1673,47,41,12,1,114,124,49,6,0,0,80,131,55,49,8,1,102,8,50,72,32,5,115
1ff6ad702bf4e534be62f13d662d8b1683e770fd,2460,42,49,10,0,149,1561,47,37,3,1,103,254,35,30,1,0,77,207,77,76,16,3,121,10,51,71,26,0,112
12dd5c6cc1cf9db67f2ee77f6f3fec05cd1d97d4,13257,162,104,29,0,259,12793,179,79,24,0,264,12773,182,85,20,1,250,9114,163,85,14,0,270,6,97,51,33,2,170
c06ee44be2b29ecac2195d6847862d907c4049d8,12835,199,100,30,1,235,7708,160,76,23,1,232,259,144,21,1,0,142,258,146,72,21,3,181,6,130,89,22,1,166
7e81fea8f53bab9a536898c9adb28c20fe936496,12955,195,123,27,1,296,7414,195,77,22,1,215,116,157,11,0,0,100,230,139,75,20,2,218,7,94,72,13,5,163
faece266ff48a79f85f7d44c4c9f75676539a409,13477,209,108,27,0,320,6846,166,78,23,0,200,64,172,10,1,0,103,211,197,80,23,2,181,8,105,71,9,3,151
714dc81b60a2fd724787340f453d60b990330a73,12774,181,80,17,2,251,6960,152,100,13,1,241,53,111,5,1,0,100,203,193,82,27,2,170,11,99,79,23,2,183
9959af6aa780317f0e8ad81ad7e51f732feea6eb,12837,177,83,23,0,240,7709,163,96,21,1,250,126,133,13,1,0,121,206,192,87,29,1,236,9,91,66,25,3,135
607dd4d3094a96bedc1e3c1a55d814e3135525d0,13062,176,97,28,0,274,7537,172,74,15,0,200,227,186,43,0,0,138,253,264,132,35,1,215,8,158,70,37,5,199
dde6ba63a4e6e8995085da68b74261fc0740630d,12950,180,80,25,1,265,7569,168,93,19,0,212,242,142,32,0,0,135,240,213,84,33,1,241,9,155,79,21,2,215
bde26035f5d662ab1754100be3638fd88fd2e0dd,12953,179,106,28,2,270,7436,176,66,19,2,236,115,115,12,0,0,96,243,175,94,31,1,269,8,89,69,19,5,139
7f1c5e9a4fff0360eeba895e3d4fca4cde45541b,12781,164,86,22,1,276,7669,155,82,17,0,217,297,146,33,0,0,146,267,227,90,27,1,199,3,118,88,28,2,161
3aed45816d48322b271bf03bfb372225363ab857,13289,200,97,24,0,273,7767,171,79,16,0,230,208,132,18,0,0,102,209,156,74,15,3,199,5,129,101,20,3,211
9139538504de73a8ffe4973dfa410fed4b752da7,13034,156,89,18,1,216,7644,183,76,23,0,232,238,203,32,0,0,144,224,161,87,21,0,125,3,157,63,23,2,153
f249238f3bec99c6d30f710f0fc3b3a2904645ad,13045,170,91,22,0,230,7551,168,70,36,1,232,236,110,17,0,0,154,261,189,104,28,1,276,6,102,73,29,6,161
c6ffc58dc99056aee6d7c16d9f32d8d8eb6f6e2e,13435,163,79,12,2,260,13203,195,90,25,1,251,13115,180,73,19,1,256,1697,180,104,34,0,258,6,104,59,29,6,159
