sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
0d9726ed0b718db4252278f307d8d7bcb7711d63,6375,231,67,17,1,212,3860,196,58,18,1,179,206,119,7,1,0,70,311,202,55,21,1,131,8,251,85,27,0,105
4733f94d757e92df3aada583deaad2905652d10f,6017,213,58,11,1,193,3939,196,74,28,0,218,352,226,14,1,0,107,167,168,61,14,2,115,18,332,123,33,3,148
c6fd69528af76d31eac796c5d93ae7427df77124,6442,208,68,24,0,217,3638,214,52,12,1,137,141,176,5,0,0,77,214,272,79,20,1,163,8,180,72,34,2,132
da222f9df4ab35510582531461430df1a15dbcf8,6109,215,52,13,1,205,4168,195,64,17,1,159,527,198,14,0,0,140,181,212,42,16,0,119,10,184,82,23,1,94
8f0ee53200c4ff0898a4a16383d561c7d9915c3f,5960,171,56,17,0,162,3831,201,43,12,0,152,399,170,13,0,0,101,412,251,87,18,2,161,11,144,57,26,1,96
59166aaaad5ea67e2ec51501e4fbf9714ac2f5c8,6620,226,58,12,3,183,3825,187,55,17,0,125,405,188,42,0,0,95,183,183,63,23,0,136,17,172,127,58,4,158
e0b9973d2ebc2ed0707eced5103cd8d1839ee85a,6029,220,51,18,0,199,3874,212,57,14,2,169,501,186,15,1,0,112,156,206,54,20,1,133,8,208,85,29,1,126
751d879aaa31aca758216935003a0973af4cfb4a,6090,202,51,19,0,166,3845,203,54,12,0,156,361,158,19,0,0,103,209,226,55,17,0,134,8,159,73,36,1,116
375e4bb2a7bef4d3dbeb7be155eb8f0ceb224213,6225,223,51,11,0,173,3856,227,49,21,1,149,380,242,12,0,0,131,180,192,56,23,0,129,11,195,100,35,3,111
99c9d87608765ae645e7bc6d3e007672057e4b56,6391,196,63,13,2,200,4122,235,47,18,0,137,426,198,20,1,1,99,232,258,56,21,1,113,17,212,83,26,0,157
563c7838bafbff74e5771c738a4b34a32d6d07ad,6327,220,47,9,0,180,3767,188,51,17,0,158,321,143,13,0,0,118,291,268,82,14,1,137,11,203,65,34,2,123
b6de4dc5e2a5099e854b6388fab7fffc310e5e13,6178,213,68,24,1,185,3842,192,52,12,0,158,189,228,6,0,0,109,194,206,62,13,4,136,11,298,90,27,2,109
05d02f4f55c872b47894a67ef2ac4a03345ebf07,6017,196,72,18,1,174,3701,191,66,13,0,164,266,137,13,0,0,91,313,188,60,24,1,151,8,183,90,31,2,201
09430e31f3ffd8e83d15fec0768969474c158456,6397,228,59,24,0,174,3543,176,54,12,0,151,84,169,7,0,0,150,332,192,85,14,1,108,12,251,111,44,0,98
0049753e1b2ce8071d2027473185239cfea71466,6320,169,56,13,0,164,3656,188,49,12,0,183,174,215,8,0,0,110,313,180,60,15,0,135,10,158,72,31,1,92
06fd08c9887f1a651767af365402440b9f92282e,6283,203,62,14,1,214,4266,273,35,16,0,174,516,196,14,1,0,131,181,228,65,13,2,103,13,244,75,31,2,101
24e3040a146356037f9a7ee3d4a0b14272c37e60,6158,237,64,41,1,226,3824,190,51,18,0,176,409,116,15,0,0,92,289,175,69,14,2,106,6,242,76,32,1,103
