sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
c022fdc0b1d0125f3e4ec471ab846f4d9ba491b1,7457,939,85,457,2,142,42,901,0,32,0,44,9,779,0,31,0,36,100,953,87,214,2,60,7,982,79,224,0,76
cccecd4dcd4141580833b9e8dad8c8755877df28,7586,936,82,428,1,136,5045,873,70,329,0,103,60,777,12,34,0,29,89,852,82,185,1,62,12,1028,106,222,0,116
bd74736890d1490784f5dbe15b0ee9ca455b8264,7753,915,85,385,0,122,5560,917,82,410,1,153,57,885,24,38,0,44,160,933,95,248,0,74,6,872,71,222,0,78
c7d7d00cf487063be26abd5c43e9404b665c225e,7296,893,91,459,0,134,5781,941,77,399,1,121,524,824,22,37,0,79,299,923,97,214,0,82,9,976,98,209,2,82
19043dfcd4b19ba4b390e023e6019523f16c5dc3,7551,927,104,376,0,133,5556,923,112,395,1,122,485,817,20,26,0,92,220,906,113,238,2,89,11,945,95,224,1,82
8961063ccaebbcb71e3ea627ab90a8c25bcdd75b,7478,899,98,463,1,142,5262,934,81,438,0,122,457,819,12,36,0,89,89,897,108,234,1,61,11,1078,121,314,0,144
be523bc4b471c78a89108bffc9c3f7bf88cdf69c,7857,907,88,436,0,146,5447,904,87,453,0,117,653,864,26,35,0,69,94,955,102,217,1,51,13,983,93,249,3,97
9837cc4c335d0c3a7fba9e2d4ad42a70e663489c,7561,979,111,401,0,147,5696,915,84,499,0,116,627,944,27,47,0,94,317,1043,145,275,1,102,7,887,81,218,0,45
b2c6a74523fea6aa4bae3e586c73ccef7a74fbdc,7749,935,111,532,2,136,5491,940,100,491,0,146,545,842,16,28,0,70,179,908,115,218,0,75,13,923,131,253,0,61
eb1901f58307c49d4e442ee9c5d681e9fcdc26a4,7530,909,100,420,0,132,5583,905,89,481,1,138,496,941,24,40,0,91,150,893,118,208,2,62,7,936,111,232,2,97
5d8b527aeb6050aa0ebbda51ab0fe22ec2a72915,7580,930,105,444,2,129,5522,931,112,524,1,123,538,843,26,41,0,80,210,1056,115,285,0,102,8,912,113,214,0,67
526a238a9d125645c4397f7b3ca7233b9930dbe7,7546,963,96,440,1,125,6051,946,99,346,0,112,508,884,20,37,0,85,113,873,97,252,0,71,8,880,74,201,1,65
78df4b92f9bf2da9e1d380e3c780381b03b6533a,7557,901,100,75,0,122,5562,877,91,62,0,117,546,840,13,10,0,103,279,1108,151,67,0,83,12,954,129,72,0,61
82795d7f3c5c332f92f290c3351e741a8fda499e,7426,878,252,269,0,175,7418,912,265,259,0,165,7371,911,289,277,1,146,1326,973,232,288,0,109,4,913,271,299,0,106
30dd0f31e05513f5c6782c241ad10d8e17bf2391,7094,923,290,244,0,179,5515,929,241,266,0,166,504,846,17,8,0,54,137,882,281,271,0,107,20,1111,258,288,1,172
