sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
b80e62b0b55d75baf41e27c3434304071b371758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,524,305,147,1,253
96971cc28a978b2673d12b7ed334d6b402aa1bc5,8668,513,315,93,0,233,5424,478,336,98,1,305,711,417,15,4,0,93,8610,488,302,107,1,269,44,530,333,167,0,165
a50e85eecdd2de438736a9d8e3b1d803bf5101a0,8885,522,306,120,0,256,5605,549,314,109,0,294,713,524,18,14,0,82,8695,475,320,91,0,325,51,503,288,124,1,171
68f68ca5a3d152b545cceb29b69ed31d240940e1,9097,572,341,85,0,324,5447,489,329,121,0,278,705,490,24,6,0,87,9105,518,322,75,1,273,47,558,350,153,0,265
1f681f99276481daf8de7dfe92d0e0136c273e7a,7744,372,73,24,1,175,4807,379,98,45,0,146,307,291,24,2,0,30,7713,374,82,40,0,140,5,353,114,36,0,90
b440a3736c91b0db7a049a658497421d81d3dafd,9634,629,405,133,0,469,5725,570,406,135,1,329,932,482,12,3,0,102,9763,605,356,106,0,314,34,623,400,118,0,232
e7dddfe060ece499438cf3225a62a55829044ff4,9549,656,403,94,1,357,9445,657,393,135,0,316,9453,599,370,81,0,316,9864,599,410,121,0,428,34,651,393,137,0,387
1a42780eada478a68e5f893cec8e47e03a49d66b,9314,603,385,135,0,301,5792,656,397,130,0,288,1055,649,14,4,0,130,9348,650,405,114,0,379,51,718,413,157,1,340
6684bdfde99e73812b16caed255b0c816b4c7e48,9472,594,368,132,0,360,6007,582,356,110,0,277,916,510,10,5,0,99,9353,599,376,114,0,292,40,596,389,142,1,323
3c4b1683465971aec08eb5e3f129f18f6fa0d36a,9320,682,416,104,0,288,6085,649,429,159,0,418,971,512,18,7,0,93,9279,603,387,95,0,318,43,584,425,130,1,321
