sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
0d9726ed0b718db4252278f307d8d7bcb7711d63,3338,125,25,7,0,75,2373,137,33,4,0,56,168,77,8,1,0,33,243,110,25,11,0,30,5,130,31,14,0,47
4733f94d757e92df3aada583deaad2905652d10f,6133,229,42,15,1,181,3633,175,35,16,1,148,270,138,11,0,0,84,143,146,54,14,0,100,13,247,84,43,1,129
c6fd69528af76d31eac796c5d93ae7427df77124,2986,105,16,1,0,48,1881,87,7,1,0,68,159,96,7,0,0,35,118,76,16,3,1,27,2,97,18,2,0,20
da222f9df4ab35510582531461430df1a15dbcf8,6321,198,40,13,0,167,3983,198,52,12,0,195,492,199,15,3,0,117,190,183,54,26,0,147,7,214,85,29,0,174
8f0ee53200c4ff0898a4a16383d561c7d9915c3f,5892,166,54,14,2,182,3627,196,45,9,0,131,320,158,13,0,0,80,437,250,68,25,1,157,11,249,78,33,0,146
59166aaaad5ea67e2ec51501e4fbf9714ac2f5c8,5832,177,58,10,2,173,3613,237,49,11,0,156,278,127,12,1,0,82,212,179,61,27,1,183,9,188,93,28,3,104
e0b9973d2ebc2ed0707eced5103cd8d1839ee85a,6062,182,87,27,1,178,3754,195,51,19,0,159,550,192,16,0,0,114,192,226,58,17,1,105,16,290,101,32,2,150
751d879aaa31aca758216935003a0973af4cfb4a,6301,193,70,24,0,202,3627,199,55,13,1,154,387,140,12,1,0,80,169,274,64,14,1,118,14,241,86,50,2,150
375e4bb2a7bef4d3dbeb7be155eb8f0ceb224213,5947,198,75,14,0,159,3775,179,41,16,1,151,300,119,11,2,0,87,188,181,57,21,2,129,10,175,87,45,2,125
99c9d87608765ae645e7bc6d3e007672057e4b56,6286,206,54,10,1,189,3785,191,51,13,0,181,405,184,14,1,0,135,329,190,52,15,0,103,6,170,71,24,0,138
563c7838bafbff74e5771c738a4b34a32d6d07ad,5783,187,58,17,0,166,3878,233,69,28,0,179,271,183,29,0,1,91,206,178,44,17,1,137,10,254,125,64,4,211
b6de4dc5e2a5099e854b6388fab7fffc310e5e13,2900,86,19,3,0,81,1999,85,7,1,1,54,114,97,5,0,0,26,127,133,9,2,0,39,3,84,9,2,0,46
05d02f4f55c872b47894a67ef2ac4a03345ebf07,5887,203,51,18,1,191,3582,170,37,10,0,147,284,194,11,0,0,97,351,303,80,16,2,152,8,240,80,30,1,135
09430e31f3ffd8e83d15fec0768969474c158456,2834,95,18,1,0,57,1922,114,9,5,0,54,54,104,21,2,0,21,141,139,21,9,0,26,3,123,30,18,0,38
0049753e1b2ce8071d2027473185239cfea71466,3217,141,39,16,1,87,2422,151,21,7,0,77,141,189,22,0,0,50,245,188,29,7,0,44,3,145,29,13,0,26
06fd08c9887f1a651767af365402440b9f92282e,6243,196,55,16,0,213,4170,269,62,22,0,198,382,149,14,1,0,102,304,231,75,23,0,144,16,182,90,42,2,167
24e3040a146356037f9a7ee3d4a0b14272c37e60,6515,215,89,29,0,164,3791,184,58,12,1,177,445,176,17,1,0,102,327,185,78,16,0,121,17,211,81,35,2,118
