project,nomop,ltw,ctw,ctw - nomop,ctw / nomop,ltw - ctw
shazam-shazamcrest,1.734,25.851,2.658,0.924,1.533,23.193
greengerong-prerender-java,1.729,17.139,1.856,0.127,1.073,15.283
RayDeCampo-java-xirr,1.729,59.849,1.984,0.255,1.147,57.865
yuqi1129-calcite-test,1.722,56.549,1.998,0.276,1.16,54.551
avaje-common-avaje-agentloader,1.722,15.295,1.992,0.27,1.157,13.303
jnr-jnr-process,1.719,23.199,2.063,0.344,1.2,21.136
zhining-lu-netty-websocket-proxy,1.717,33.787,2.021,0.304,1.177,31.766
eBay-bsonpatch,1.714,15.783,4.153,2.439,2.423,11.63
sysco-middleware-kafka-client-collector,1.71,36.736,2.161,0.451,1.264,34.575
CiscoDevNet-stealthwatch-data-exporter,1.707,25.901,1.784,0.077,1.045,24.117
EsmerilProgramming-overtown,1.704,27.705,1.925,0.221,1.13,25.78
seintur-jmixer,1.703,39.289,2.164,0.461,1.271,37.125
geosolutions-it-geoserver-manager,1.702,19.185,1.971,0.269,1.158,17.214
j-easy-easy-flows,1.701,75.11,2.001,0.3,1.176,73.109
mvallim-emv-qrcode,1.701,20.069,1.949,0.248,1.146,18.12
hengyunabc-metrics-zabbix,1.701,60.473,2.071,0.37,1.218,58.402
Col-E-Simple-Memory-Compiler,1.691,16.019,1.686,-0.005,0.997,14.333
trganda-yaml2http,1.69,42.017,2.026,0.336,1.199,39.991
autermann-yaml,1.688,25.334,1.934,0.246,1.146,23.4
jnr-jnr-netdb,1.687,17.952,1.785,0.098,1.058,16.167
atteo-evo-inflector,1.674,15.306,1.748,0.074,1.044,13.558
cutecharts-cutecharts.java,1.674,52.149,2.003,0.329,1.197,50.146
apereo-cas-server-security-filter,1.671,62.737,2.119,0.448,1.268,60.618
Thare-Lam-fast-elasticsearch-query-builder,1.67,34.261,1.948,0.278,1.166,32.313
wavefrontHQ-wavefront-fdb-tailer,1.668,40.566,1.923,0.255,1.153,38.643
zhaolihe-useragent-parser,1.667,34.567,2.303,0.636,1.382,32.264
marzn-telegrambot-japi,1.667,28.932,2.037,0.37,1.222,26.895
bkatwal-kafka-solr-sink-connector,1.666,20.663,1.95,0.284,1.17,18.713
twitter-netty-http2,1.664,21.265,1.833,0.169,1.102,19.432
weibocom-yar-java,1.663,30.141,1.881,0.218,1.131,28.26
gkopff-gson-jodatime-serialisers,1.663,17.999,1.665,0.002,1.001,16.334
graphhopper-jackson-datatype-jts,1.663,30.211,1.872,0.209,1.126,28.339
coldnew-twse-captcha-solver-java,1.663,16.066,2.011,0.348,1.209,14.055
cm-heclouds-onenet-studio-api-java-sdk,1.662,22.367,1.901,0.239,1.144,20.466
zhuweitung-banana-helper,1.659,31.158,1.893,0.234,1.141,29.265
inreachventures-aws-signing-request-interceptor,1.658,23.012,1.826,0.168,1.101,21.186
rjwut-ian,1.657,16.889,1.814,0.157,1.095,15.075
wealthfront-thompson-sampling,1.656,58.365,1.908,0.252,1.152,56.457
j-easy-easy-states,1.65,55.809,1.915,0.265,1.161,53.894
petterobam-mds2index.html,1.64,24.941,1.793,0.153,1.093,23.148
dubasdey-portable-ftp-server,1.638,15.577,1.809,0.171,1.104,13.768
justauth-JustAuth,1.636,24.987,1.887,0.251,1.153,23.1
games647-ColorConsole,1.635,15.829,1.779,0.144,1.088,14.05
shibing624-crf-seg,1.635,29.292,1.872,0.237,1.145,27.42
hevoio-recoverable-kafka-producer,1.635,30.712,1.837,0.202,1.124,28.875
ZhongAnTech-dmds,1.633,30.688,1.91,0.277,1.17,28.778
wttech-Maven-CRX-Plugin,1.631,16.233,1.709,0.078,1.048,14.524
eBay-json-comparison,1.631,58.366,2.02,0.389,1.239,56.346
sd4324530-JTuple,1.63,16.192,1.738,0.108,1.066,14.454
knowm-jspice,1.629,20.085,2.034,0.405,1.249,18.051
ThinkingDataAnalytics-java-sdk,1.622,27.95,1.912,0.29,1.179,26.038
os72-protobuf-dynamic,1.621,22.199,1.714,0.093,1.057,20.485
Isaac315-sql-translator,1.616,51.598,1.79,0.174,1.108,49.808
tchristofferson-Config-Updater,1.615,18.612,2.181,0.566,1.35,16.431
Celos-avro-json-decoder,1.613,26.512,1.722,0.109,1.068,24.79
pablobastidasv-kc_security,1.613,25.971,1.827,0.214,1.133,24.144
rpau-javalang,1.612,20.536,1.904,0.292,1.181,18.632
thymeleaf-thymeleaf-itutorial,1.608,32.848,5.148,3.54,3.201,27.7
george-haddad-cardme,1.601,19.19,1.797,0.196,1.122,17.393
steveash-jopenfst,1.598,17.965,2.279,0.681,1.426,15.686
wcnwyx-gm-encryption,1.596,15.957,1.648,0.052,1.033,14.309
ashwanthkumar-gocd-janitor,1.595,24.87,1.957,0.362,1.227,22.913
hongliuliao-thrift-generator,1.589,26.446,1.874,0.285,1.179,24.572
YuboLong-MyLive,1.583,24.569,1.893,0.31,1.196,22.676
righettod-pst-digger,1.583,15.707,1.735,0.152,1.096,13.972
MPriess-GeoJSON-POJO,1.578,29.82,1.803,0.225,1.143,28.017
zhanyeye-DesSim,1.578,30.014,2.683,1.105,1.7,27.331
mirabeau-nl-ceddl4j,1.577,26.745,1.909,0.332,1.211,24.836
square-pagerduty-incidents,1.57,15.004,1.722,0.152,1.097,13.282
massigerardi-ta4j-strategy-parser,1.566,16.846,2.438,0.872,1.557,14.408
naver-lucy-xss-servlet-filter,1.566,16.427,1.739,0.173,1.11,14.688
sabomichal-liquibase-mssql,1.565,47.906,1.984,0.419,1.268,45.922
EsotericSoftware-yamlbeans,1.562,15.66,1.937,0.375,1.24,13.723
amihaiemil-zold-java-client,1.558,14.436,1.719,0.161,1.103,12.717
jnr-jnr-enxio,1.556,18.467,1.816,0.26,1.167,16.651
javadev-sqltojava,1.551,15.874,1.795,0.244,1.157,14.079
eBay-FeedSDK,1.548,17.496,1.753,0.205,1.132,15.743
spoofzu-DeepViolet,1.548,27.263,1.838,0.29,1.187,25.425
code4craft-xsoup,1.542,18.282,1.811,0.269,1.174,16.471
eolinker-sql2dsl,1.541,42.313,1.742,0.201,1.13,40.571
webbynet-protostuff-runtime-proto,1.538,19.867,1.692,0.154,1.1,18.175
vashishthask-eclipse-to-maven,1.536,15.983,1.755,0.219,1.143,14.228
dgroup-laconic-velocity,1.528,16.13,1.648,0.12,1.079,14.482
k55k32-simple-codegen,1.52,16.665,1.75,0.23,1.151,14.915
patriques82-alphavantage4j,1.508,15.458,1.618,0.11,1.073,13.84
google-jsontoken,1.504,14.808,1.657,0.153,1.102,13.151
hneemann-digitalCustomComponents,1.504,18.544,1.62,0.116,1.077,16.924
binghe001-mykit-holiday,1.492,18.579,1.633,0.141,1.095,16.946
bazaarvoice-jsonpps,1.49,20.377,1.678,0.188,1.126,18.699
wechatpay-apiv3-CertificateDownloader,1.487,23.25,1.658,0.171,1.115,21.592
stevespringett-CPE-Parser,1.475,14.671,1.604,0.129,1.087,13.067
pvto-konte-art,1.474,16.69,1.742,0.268,1.182,14.948
johnlpage-POCDriver,1.472,17.493,1.639,0.167,1.113,15.854
MountCloud-graphql-client,1.46,22.847,1.723,0.263,1.18,21.124
lightningMan-flash-netty,1.455,19.832,1.645,0.19,1.131,18.187
niesfisch-java-code-tracer,1.453,15.497,1.549,0.096,1.066,13.948
pk8est-table-printer,1.446,14.483,1.728,0.282,1.195,12.755
meteoinfo-wContour,1.445,14.139,1.487,0.042,1.029,12.652
denniskniep-GQLRaider,1.444,21.331,1.636,0.192,1.133,19.695
CarmJos-AliDDNS-Updater,1.427,19.931,1.672,0.245,1.172,18.259
liudongdong0909-mybatis-generator-core-fix,1.415,16.954,1.521,0.106,1.075,15.433
